Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-14,22.897,22.906,22.23,22.661,60685200,0.0,0.0
2017-02-15,22.612,22.799,22.338,22.563,28215800,0.0,0.0
2017-02-16,22.583,22.877,22.397,22.524,23819800,0.0,0.0
2017-02-17,22.554,22.916,22.554,22.887,22108700,0.0,0.0
2017-02-21,23.152,23.504,23.112,23.299,20256300,0.0,0.0
2017-02-22,23.387,23.583,23.181,23.279,16013300,0.0,0.0
2017-02-23,23.446,23.495,22.769,23.014,20172900,0.0,0.0
2017-02-24,22.505,22.799,22.191,22.779,22019600,0.0,0.0
2017-02-27,22.897,23.299,22.691,23.289,17999800,0.0,0.0
2017-02-28,23.318,23.475,22.857,22.975,21447500,0.0,0.0
2017-03-01,23.681,24.092,23.593,24.063,27989300,0.0,0.0
2017-03-02,24.387,24.749,23.896,24.21,45941900,0.0,0.0
2017-03-03,24.7,25.171,24.485,25.063,37862400,0.0,0.0
2017-03-06,24.994,25.406,24.671,25.2,25527800,0.0,0.0
2017-03-07,25.053,25.239,24.779,25.131,20313000,0.0,0.0
2017-03-08,25.131,25.318,24.543,24.877,24921100,0.0,0.0
2017-03-09,24.73,24.984,24.357,24.651,21786600,0.0,0.0
2017-03-10,24.779,25.239,24.318,24.681,28919000,0.0,0.0
2017-03-13,24.886,25.308,24.788,25.19,23768200,0.0,0.0
2017-03-14,25.082,25.19,24.749,25.073,14587500,0.0,0.0
2017-03-15,24.651,25.631,24.445,25.602,29779900,0.0,0.0
2017-03-16,25.68,25.71,25.318,25.524,19147300,0.0,0.0
2017-03-17,25.347,25.396,24.896,25.288,19126500,0.0,0.0
2017-03-20,25.475,26.082,25.298,25.69,26918800,0.0,0.0
2017-03-21,25.778,25.916,24.926,25.014,28397500,0.0,0.0
2017-03-22,25.22,25.631,25.122,25.543,25092500,0.0,0.0
2017-03-23,25.837,25.965,25.524,25.945,47118300,0.0,0.0
2017-03-24,29.121,29.278,27.601,27.866,107481800,0.0,0.0
2017-03-27,27.543,28.601,27.513,28.19,48190000,0.0,0.0
2017-03-28,28.16,28.484,28.052,28.121,24776400,0.0,0.0
2017-03-29,28.033,28.111,27.788,27.935,23060600,0.0,0.0
2017-03-30,27.837,28.425,27.768,28.395,25092700,0.0,0.0
2017-03-31,28.523,28.778,28.327,28.327,32337800,0.0,0.0
2017-04-03,28.376,28.464,27.739,28.072,21629100,0.0,0.0
2017-04-04,27.905,28.111,27.601,28.023,13957900,0.0,0.0
2017-04-05,28.072,28.337,27.67,27.7,22389900,0.0,0.0
2017-04-06,27.69,28.209,27.464,28.052,19423700,0.0,0.0
2017-04-07,27.886,28.288,27.788,27.954,20325500,0.0,0.0
2017-04-10,27.886,27.925,27.033,27.092,27422100,0.0,0.0
2017-04-11,26.955,26.994,26.151,26.641,38619300,0.0,0.0
2017-04-12,26.876,26.886,26.131,26.161,24621900,0.0,0.0
2017-04-13,26.023,26.69,25.837,26.21,26077500,0.0,0.0
2017-04-17,26.376,26.68,26.298,26.592,14108600,0.0,0.0
2017-04-18,26.464,26.798,26.366,26.602,14407100,0.0,0.0
2017-04-19,26.906,27.004,26.513,26.719,21231900,0.0,0.0
2017-04-20,26.955,27.523,26.955,27.405,23633000,0.0,0.0
2017-04-21,27.445,27.474,26.621,26.778,28361700,0.0,0.0
2017-04-24,27.19,27.209,25.994,26.043,44041000,0.0,0.0
2017-04-25,26.18,26.484,25.847,26.455,22881400,0.0,0.0
2017-04-26,26.053,26.533,25.867,26.259,24670700,0.0,0.0
2017-04-27,26.631,27.102,26.563,27.082,24626900,0.0,0.0
2017-04-28,27.464,27.641,26.964,27.121,28105100,0.0,0.0
2017-05-01,27.298,27.817,27.17,27.729,23938000,0.0,0.0
2017-05-02,27.719,27.719,26.906,27.219,25335300,0.0,0.0
2017-05-03,27.004,27.543,27.004,27.445,15061300,0.0,0.0
2017-05-04,27.386,27.611,27.17,27.239,15544600,0.0,0.0
2017-05-05,27.249,27.66,27.072,27.641,15639600,0.0,0.0
2017-05-08,27.013,27.513,26.739,27.503,32326800,0.0,0.0
2017-05-09,27.552,28.327,27.503,28.239,31073400,0.0,0.0
2017-05-10,28.346,28.836,28.229,28.738,29267500,0.0,0.0
2017-05-11,28.591,28.729,28.121,28.454,22494600,0.0,0.0
2017-05-12,28.523,28.542,28.111,28.356,15902700,0.0,0.0
2017-05-15,28.503,28.611,28.16,28.258,21899900,0.0,0.0
2017-05-16,28.346,28.503,28.003,28.444,14940800,0.0,0.0
2017-05-17,27.778,27.945,26.425,26.464,38027900,0.0,0.0
2017-05-18,26.612,27.337,26.553,26.935,26863000,0.0,0.0
2017-05-19,27.229,27.601,27.18,27.268,19173200,0.0,0.0
2017-05-22,27.641,27.69,27.102,27.503,18032700,0.0,0.0
2017-05-23,27.523,27.749,27.013,27.729,21800800,0.0,0.0
2017-05-24,27.905,28.542,27.876,28.415,22216800,0.0,0.0
2017-05-25,28.621,29.072,28.611,28.846,20714000,0.0,0.0
2017-05-26,28.689,29.18,28.307,29.17,17784800,0.0,0.0
2017-05-30,29.346,30.258,29.287,30.091,34690000,0.0,0.0
2017-05-31,30.395,30.483,29.719,30.16,26402900,0.0,0.0
2017-06-01,30.14,30.219,29.679,30.15,20534800,0.0,0.0
2017-06-02,30.189,30.758,29.924,30.591,20206300,0.0,0.0
2017-06-05,30.679,31.13,30.454,30.591,24360800,0.0,0.0
2017-06-06,30.424,31.14,30.258,30.944,33125800,0.0,0.0
2017-06-07,31.071,31.904,31.071,31.855,32635800,0.0,0.0
2017-06-08,32.189,32.208,31.248,31.806,29156500,0.0,0.0
