Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-02,118.604,121.504,118.243,120.411,2348600,0.0,0.0
2017-06-05,120.56,120.923,118.095,118.273,1766700,0.788,0.0
2017-06-06,117.723,118.92,117.395,118.158,1082800,0.0,0.0
2017-06-07,119.283,119.86,117.626,117.971,1729200,0.0,0.0
2017-06-08,117.971,118.184,116.81,117.883,1549700,0.0,0.0
2017-06-09,118.397,120.764,118.379,120.728,1837200,0.0,0.0
2017-06-12,120.781,121.446,119.416,119.647,1388400,0.0,0.0
2017-06-13,119.496,120.923,119.461,120.808,1013200,0.0,0.0
2017-06-14,120.799,120.968,119.461,119.842,870500,0.0,0.0
2017-06-15,118.884,119.789,118.592,119.549,1176800,0.0,0.0
2017-06-16,119.975,120.578,119.345,120.56,1816900,0.0,0.0
2017-06-19,121.003,121.411,120.578,120.968,1263200,0.0,0.0
2017-06-20,120.462,121.012,119.292,119.461,1461200,0.0,0.0
2017-06-21,119.762,119.913,117.705,117.776,1059200,0.0,0.0
2017-06-22,117.776,118.255,117.271,117.431,1975200,0.0,0.0
2017-06-23,117.448,118.618,117.271,117.723,1878800,0.0,0.0
2017-06-26,118.033,118.069,117.209,117.794,768600,0.0,0.0
2017-06-27,118.175,118.175,117.041,117.218,833800,0.0,0.0
2017-06-28,118.175,118.884,117.599,118.468,1133400,0.0,0.0
2017-06-29,118.565,118.61,116.216,116.721,978300,0.0,0.0
2017-06-30,116.961,118.078,116.429,117.502,1502300,0.0,0.0
2017-07-03,117.271,119.514,117.271,118.946,903000,0.0,0.0
2017-07-05,118.982,119.266,117.182,117.599,1071600,0.0,0.0
2017-07-06,117.413,118.166,117.307,117.395,1598900,0.0,0.0
2017-07-07,117.484,118.14,116.854,117.954,1187700,0.0,0.0
2017-07-10,117.59,118.867,117.448,118.202,737700,0.0,0.0
2017-07-11,118.158,118.344,117.395,117.865,657000,0.0,0.0
2017-07-12,119.133,119.212,118.477,118.627,1252700,0.0,0.0
2017-07-13,118.592,118.973,118.157,118.415,870700,0.0,0.0
2017-07-14,118.84,119.39,118.388,119.062,1078300,0.0,0.0
2017-07-17,119.23,119.594,118.867,119.266,1190900,0.0,0.0
2017-07-18,119.026,119.221,118.308,118.929,848400,0.0,0.0
2017-07-19,118.929,120.294,118.743,120.223,726500,0.0,0.0
2017-07-20,120.179,120.471,119.354,119.86,925700,0.0,0.0
2017-07-21,119.762,119.948,119.168,119.443,813900,0.0,0.0
2017-07-24,119.505,120.179,119.141,119.868,917100,0.0,0.0
2017-07-25,120.888,121.083,119.966,120.436,1009800,0.0,0.0
2017-07-26,119.975,120.383,119.124,119.7,1141200,0.0,0.0
2017-07-27,119.673,120.179,116.837,117.643,1812900,0.0,0.0
2017-07-28,117.643,118.22,116.039,117.244,1486900,0.0,0.0
2017-07-31,117.422,117.422,114.762,115.383,2094700,0.0,0.0
2017-08-01,116.234,117.253,115.188,115.87,1783300,0.0,0.0
2017-08-02,115.817,116.127,115.25,115.773,963400,0.0,0.0
2017-08-03,115.826,115.968,115.188,115.525,698700,0.0,0.0
2017-08-04,115.525,115.87,114.904,115.374,1143600,0.0,0.0
2017-08-07,115.587,115.72,115.144,115.436,521900,0.0,0.0
2017-08-08,115.321,115.321,113.699,113.982,1137200,0.0,0.0
2017-08-09,113.885,114.319,113.379,114.23,1357700,0.0,0.0
2017-08-10,113.902,114.292,113.096,113.131,1130500,0.0,0.0
2017-08-11,113.184,113.902,112.901,112.972,583000,0.0,0.0
2017-08-14,113.938,116.269,113.938,116.181,1648600,0.0,0.0
2017-08-15,115.968,116.73,115.826,116.544,1030100,0.0,0.0
2017-08-16,116.695,118.92,116.659,118.423,1771000,0.0,0.0
2017-08-17,118.406,118.627,116.651,116.828,980200,0.0,0.0
2017-08-18,116.819,117.439,116.128,117.28,935100,0.0,0.0
2017-08-21,116.677,117.058,116.11,116.314,1034100,0.0,0.0
2017-08-22,117.085,118.069,117.067,117.679,910500,0.0,0.0
