Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-07-25,133.024,134.905,132.004,134.137,9511400,0.0,0.0
2017-07-26,133.876,134.078,131.279,131.979,4679000,0.0,0.0
2017-07-27,131.903,132.754,131.161,132.35,4624100,0.0,0.0
2017-07-28,131.852,132.105,130.764,131.422,3964500,0.0,0.0
2017-07-31,131.481,131.903,130.579,130.823,4272400,0.0,0.0
2017-08-01,130.688,131.464,129.617,129.896,4185100,0.0,0.0
2017-08-02,129.66,132.097,129.617,132.046,3326000,0.0,0.0
2017-08-03,132.021,132.198,130.208,130.469,3666100,0.0,0.0
2017-08-04,130.376,130.553,129.213,129.71,4435400,0.0,0.0
2017-08-07,129.98,131.034,129.862,130.68,3252100,0.0,0.0
2017-08-08,130.427,130.916,129.946,130.638,4234300,0.0,0.0
2017-08-09,130.958,131.279,130.157,130.638,3006500,0.0,0.0
2017-08-10,130.14,132.56,130.073,132.071,3874500,0.0,0.0
2017-08-11,132.29,133.572,132.08,132.645,2925000,0.0,0.0
2017-08-14,132.771,133.151,131.936,132.611,2809100,0.0,0.0
2017-08-15,133.1,133.724,132.678,132.915,2160100,0.0,0.0
2017-08-16,133.142,134.399,132.898,133.994,2921800,0.0,0.0
2017-08-17,133.867,134.525,133.075,133.142,3071600,0.0,0.0
2017-08-18,133.226,133.471,132.409,133.033,2595700,0.0,0.0
2017-08-21,133.378,133.775,132.847,133.539,2195100,0.0,0.0
2017-08-22,133.657,134.871,133.564,134.618,2122600,0.0,0.0
2017-08-23,134.331,134.39,133.555,133.918,2190700,0.0,0.0
2017-08-24,134.171,134.652,133.513,133.581,1634800,0.0,0.0
2017-08-25,133.985,134.365,133.682,133.926,2019600,0.0,0.0
2017-08-28,134.112,134.888,133.791,134.643,2027300,0.0,0.0
2017-08-29,134.247,134.719,133.851,134.399,3283400,0.0,0.0
2017-08-30,134.365,135.417,134.297,135.323,2236500,0.94,0.0
2017-08-31,135.527,135.722,135.171,135.697,2717000,0.0,0.0
2017-09-01,135.612,135.892,135.298,135.561,1878300,0.0,0.0
2017-09-05,134.874,135.535,134.085,134.959,4000500,0.0,0.0
2017-09-06,135.069,135.188,134.212,134.212,4143300,0.0,0.0
2017-09-07,134.424,135.781,134.305,135.637,2965400,0.0,0.0
2017-09-08,135.323,136.044,135.026,135.476,2984200,0.0,0.0
2017-09-11,135.722,137.181,135.654,137.02,2333600,0.0,0.0
2017-09-12,135.9,136.333,132.134,132.609,10324100,0.0,0.0
2017-09-13,132.957,133.839,132.329,133.177,4705600,0.0,0.0
