Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-28,19.785,19.785,19.31,19.54,5918400,0.0,0.0
2017-03-01,19.6,21.022,19.6,20.368,6100800,0.0,0.0
2017-03-02,20.375,20.735,20.208,20.26,2674800,0.0,0.0
2017-03-03,19.995,20.423,19.875,20.11,4053600,0.0,0.0
2017-03-06,19.942,20.06,19.405,19.59,3729600,0.0,0.0
2017-03-07,19.677,19.75,19.36,19.647,5826800,0.0,0.0
2017-03-08,19.698,19.927,19.522,19.56,1860000,0.0,0.0
2017-03-09,19.513,19.75,19.253,19.388,3541200,0.0,0.0
2017-03-10,19.427,19.625,19.212,19.585,6113600,0.0,0.0
2017-03-13,19.263,19.625,19.225,19.4,3049200,0.0,0.0
2017-03-14,19.29,19.618,19.225,19.368,2456800,0.0,0.0
2017-03-15,19.263,19.583,19.263,19.302,2691200,0.0,0.0
2017-03-16,19.42,19.545,19.188,19.345,2810800,0.0,0.0
2017-03-17,19.32,19.847,19.118,19.722,2697600,0.0,0.0
2017-03-20,19.722,20.015,19.583,19.905,2452800,0.0,0.0
2017-03-21,19.965,20.183,19.028,19.122,4271200,0.0,0.0
2017-03-22,19.075,19.3,18.778,19.225,3674400,0.0,0.0
2017-03-23,19.038,19.39,18.948,19.02,3145200,0.0,0.0
2017-03-24,19.705,21.077,19.692,20.655,5950800,0.0,0.0
2017-03-27,20.53,20.9,20.395,20.85,3014400,0.0,0.0
2017-03-28,20.788,21.075,20.733,21.003,2544400,0.0,0.0
2017-03-29,21.08,21.58,20.94,21.298,4846000,0.0,0.0
2017-03-30,21.302,21.372,21.028,21.257,1878800,0.0,0.0
2017-03-31,21.173,21.417,21.12,21.183,2074400,0.0,0.0
2017-04-03,21.188,21.33,20.733,20.993,3094400,0.0,0.0
2017-04-04,20.938,21.195,20.378,20.475,2527600,0.0,0.0
2017-04-05,20.51,20.575,19.948,20.013,3023200,0.0,0.0
2017-04-06,20.075,20.112,19.65,20.062,2660400,0.0,0.0
2017-04-07,19.938,19.987,19.61,19.69,2926400,0.0,0.0
2017-04-10,19.548,19.757,19.51,19.525,2021200,0.0,0.0
2017-04-11,19.625,19.653,19.013,19.272,2800000,0.0,0.0
2017-04-12,19.237,19.368,19.132,19.192,1285600,0.0,0.0
2017-04-13,18.695,19.132,18.155,19.015,3954000,0.0,0.0
2017-04-17,19.058,19.153,18.792,18.81,2658000,0.0,0.0
2017-04-18,18.763,18.825,18.36,18.44,3167600,0.0,0.0
2017-04-19,18.45,18.628,18.185,18.525,3332400,0.0,0.0
2017-04-20,18.587,19.062,18.525,18.975,1639200,0.0,0.0
2017-04-21,18.933,19.03,18.798,18.808,1664400,0.0,0.0
2017-04-24,19.097,19.218,18.702,18.722,3566400,0.0,0.0
2017-04-25,18.75,18.983,18.667,18.735,2649200,0.0,0.0
2017-04-26,18.843,19.073,18.647,18.92,3090800,0.0,0.0
2017-04-27,19.202,19.855,19.173,19.483,3481600,0.0,0.0
2017-04-28,19.705,19.745,19.347,19.49,2808000,0.0,0.0
2017-05-01,19.475,19.98,19.45,19.9,3504400,0.0,0.0
2017-05-02,19.962,20.478,19.665,20.413,6783200,0.0,0.0
2017-05-03,18.625,19.125,18.175,18.478,21518000,0.0,0.0
2017-05-04,18.65,18.882,18.28,18.845,6107600,0.0,0.0
2017-05-05,19.087,19.622,18.913,19.052,8638400,0.0,0.0
2017-05-08,18.8,18.968,18.205,18.35,8693200,0.0,0.0
2017-05-09,18.25,18.25,17.985,17.997,6815600,0.0,0.0
2017-05-10,17.983,18.167,17.567,17.775,4477200,0.0,0.0
2017-05-11,17.8,18.08,17.215,17.235,4206400,0.0,0.0
2017-05-12,17.235,17.655,17.177,17.605,5188400,0.0,0.0
2017-05-15,17.663,18.04,17.567,17.882,4997600,0.0,0.0
2017-05-16,17.812,17.812,17.368,17.425,4990400,0.0,0.0
2017-05-17,17.375,17.382,16.933,17.013,2892400,0.0,0.0
2017-05-18,16.975,17.235,16.778,17.165,3395600,0.0,0.0
2017-05-19,17.198,17.25,16.728,16.915,6528000,0.0,0.0
2017-05-22,17.19,17.288,16.91,17.212,4365600,0.0,0.0
2017-05-23,17.212,17.353,16.87,16.895,2304800,0.0,0.0
2017-05-24,16.945,17.087,16.778,17.065,3422400,0.0,0.0
2017-05-25,17.125,17.337,16.975,17.288,4160800,0.0,0.0
2017-05-26,17.337,17.365,17.03,17.163,1858400,0.0,0.0
2017-05-30,17.17,17.173,16.968,17.095,2584800,0.0,0.0
2017-05-31,17.135,17.157,16.54,16.71,3879200,0.0,0.0
2017-06-01,16.595,16.872,16.577,16.712,3996800,0.0,0.0
2017-06-02,16.792,17.003,16.673,16.92,3212000,0.0,0.0
2017-06-05,16.83,18.09,16.705,17.798,14366400,0.0,0.0
2017-06-06,17.532,17.653,17.122,17.435,7117600,0.0,0.0
2017-06-07,17.595,17.747,17.097,17.317,3373600,0.0,0.0
2017-06-08,17.34,17.657,17.173,17.525,1780800,0.0,0.0
2017-06-09,17.583,17.882,16.92,17.247,3431200,0.0,0.0
2017-06-12,17.298,18.032,17.112,17.92,4119600,0.0,0.0
2017-06-13,17.907,18.495,17.808,18.205,4118400,0.0,0.0
2017-06-14,18.18,18.695,18.04,18.667,3415200,0.0,0.0
2017-06-15,18.5,18.923,18.49,18.903,6172000,0.0,0.0
2017-06-16,19.032,19.173,18.81,19.065,7340000,0.0,0.0
2017-06-19,19.14,19.683,19.095,19.49,5528000,0.0,0.0
2017-06-20,19.487,19.62,19.343,19.46,5430000,0.0,0.0
2017-06-21,19.442,19.763,19.442,19.583,3965200,0.0,0.0
2017-06-22,19.55,19.827,19.55,19.67,3082800,0.0,0.0
2017-06-23,19.618,19.763,19.317,19.333,3615600,0.0,0.0
2017-06-26,19.4,19.538,18.978,19.438,3438400,0.0,0.0
2017-06-27,19.452,19.5,18.525,18.735,5140000,0.0,0.0
2017-06-28,18.772,18.92,18.5,18.82,2912000,0.0,0.0
2017-06-29,18.817,18.817,18.125,18.317,7000400,0.0,0.0
2017-06-30,18.42,18.44,18.13,18.288,1639600,0.0,0.0
2017-07-03,18.29,18.545,17.952,18.13,1307200,0.0,0.0
2017-07-05,18.13,18.388,17.792,18.29,2799200,0.0,0.0
2017-07-06,18.237,18.298,17.772,17.792,3390000,0.0,0.0
2017-07-07,17.817,18.093,17.702,18.087,2601600,0.0,0.0
2017-07-10,18.04,18.075,17.625,17.74,2802800,0.0,0.0
2017-07-11,17.725,17.88,17.38,17.872,3571200,0.0,0.0
2017-07-12,17.985,18.205,17.82,17.948,2480400,0.0,0.0
2017-07-13,17.5,17.705,17.083,17.51,10716400,0.0,0.0
2017-07-14,17.562,18.095,17.49,17.93,4264000,0.0,0.0
2017-07-17,17.978,18.025,17.458,17.673,7968800,0.0,0.0
2017-07-18,17.675,17.688,17.413,17.493,3044800,0.0,0.0
2017-07-19,17.485,17.593,17.35,17.5,4633200,0.0,0.0
2017-07-20,17.595,17.68,17.46,17.503,2568800,0.0,0.0
2017-07-21,17.42,17.63,17.27,17.38,2043600,0.0,0.0
2017-07-24,17.327,17.618,17.298,17.427,6322000,0.0,0.0
2017-07-25,17.445,17.747,17.218,17.5,5735200,0.0,0.0
2017-07-26,17.462,17.6,17.185,17.188,3406400,0.0,0.0
2017-07-27,17.265,17.265,16.562,16.622,8430400,0.0,0.0
2017-07-28,16.603,16.843,16.5,16.763,7840400,0.0,0.0
2017-07-31,16.755,16.84,16.57,16.653,4428000,0.0,0.0
2017-08-01,16.75,16.885,16.705,16.71,6623200,0.0,0.0
2017-08-02,17.913,17.942,17.435,17.825,16607200,0.0,0.0
2017-08-03,17.823,17.997,17.535,17.685,8562400,0.0,0.0
2017-08-04,17.815,17.892,17.712,17.785,3467200,0.0,0.0
2017-08-07,17.745,17.903,17.718,17.827,2580800,0.0,0.0
2017-08-08,17.8,17.955,17.757,17.827,4229600,0.0,0.0
2017-08-09,17.735,17.91,17.638,17.885,4176000,0.0,0.0
2017-08-10,17.843,17.878,17.413,17.45,6614800,0.0,0.0
